"","country","total_consumption","recorded_consumption","unrecorded_consumption","beer_percentage","wine_percentage","spirits_percentage","other_percentage","X2020_projection","X2025_projection"
"171","Bhutan",0.6,0.2,0.4,46.2,4.2,49.6,0,0.5,0.4
"172","Morocco",0.6,0.4,0.3,42.9,39.8,17,0.4,0.7,0.7
"173","Djibouti",0.5,0.4,0.2,27.5,16.7,55,0.9,0.6,0.7
"174","Niger",0.5,0.1,0.4,45,13.7,41.4,0,0.6,0.7
"176","Brunei",0.4,0.6,0.2,100,0,0,0,0.4,0.3
"177","Egypt",0.4,0.2,0.2,62,4.4,33.1,0.6,0.4,0.5
"178","Iraq",0.4,0.2,0.2,71,2.4,25.7,0.9,0.5,0.6
"179","Kiribati",0.4,0.4,0.2,100,0,0,0,0.4,0.4
"181","Syria",0.3,0.2,0.1,11.6,1.1,87.2,0,0.3,0.3
"184","Yemen",0.1,0,0,89.5,0,10.5,0,0.1,0.1
